show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s11,TV Show,Narcos,Andres Baiz,"Wagner Moura, Pedro Pascal, Boyd Holbrook, Alberto Ammann, Paulina Gaitan","United States, Colombia","August 28, 2015",2017,TV-MA,3 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series chronicling the DEA manhunt.
s12,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano",United States,"November 27, 2019",2019,R,209 min,"Crime & Docuseries, Dramas",Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family and his involvement with Jimmy Hoffa.
s13,TV Show,The Crown,Peter Morgan,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith, Tobias Menzies",United Kingdom,"November 4, 2016",2023,TV-MA,6 Seasons,"British TV Shows, TV Dramas, Historical",This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
s14,TV Show,Formula 1: Drive to Survive,James Gay-Rees,"Lewis Hamilton, Max Verstappen, Christian Horner, Guenther Steiner, Daniel Ricciardo",United Kingdom,"March 8, 2019",2024,TV-MA,6 Seasons,"Docuseries, Sports","Drivers, managers and team owners live life in the fast lane ? both on and off the track ? during each cutthroat season of Formula 1 racing."
s15,TV Show,Cyberpunk: Edgerunners,Hiroyuki Imaishi,"KENN, Aoi Yuuki, Hiroki Touchi, Michiko Kaiden, Takako Honda","Japan, United States","September 13, 2022",2022,TV-MA,1 Season,"Anime Series, Sci-Fi & Fantasy, Action & Adventure",A street kid trying to survive in a technology and body modification-obsessed city of the future chooses to stay alive by becoming an edgerunner mercenary.
s16,TV Show,Money Heist,Alex Pina,"Ursula Corbero, Alvaro Morte, Itziar Ituno, Pedro Alonso, Alba Flores",Spain,"December 20, 2017",2021,TV-MA,5 Seasons,"International TV Shows, TV Dramas, TV Thrillers, Crime TV Shows",Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his master plan.
s17,Movie,Roma,Alfonso Cuaron,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta","Mexico, United States","December 14, 2018",2018,R,135 min,"Dramas, International Movies","Director Alfonso Cuar?n delivers a vivid, emotional portrait of a domestic worker's journey set against domestic and political turmoil in 1970s Mexico."
s18,Movie,Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, David Harbour",United States,"April 24, 2020",2020,R,117 min,"Action & Adventure, Thrillers",A hardened black-market mercenary who has nothing to lose is hired to rescue the kidnapped son of an imprisoned international crime lord in Dhaka.
s19,TV Show,3 Body Problem,"David Benioff, D.B. Weiss","Benedict Wong, Jess Hong, Jovan Adepo, Eiza Gonzalez, John Bradley","United States, United Kingdom","March 21, 2024",2024,TV-MA,1 Season,"TV Dramas, TV Sci-Fi & Fantasy, TV Mysteries","Across continents and decades, five brilliant friends make world-shattering discoveries as the laws of science unravel and an existential threat emerges."
s20,Movie,Society of the Snow,J.A. Bayona,"Enzo Vogrincic, Agustin Pardella, Matias Recalt, Esteban Bigliardi","Spain, United States","January 4, 2024",2023,R,144 min,"Dramas, International Movies, Thrillers","Following a 1972 plane crash in the heart of the Andes, survivors join together and become each other's best hope as they navigate impossible sub-zero conditions."
s21,TV Show,Lupin,Louis Leterrier,"Omar Sy, Ludivine Sagnier, Clotilde Hesme, Antoine Gouy, Soufiane Guerrab",France,"January 8, 2021",2023,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas, TV Thrillers","Inspired by the adventures of Arsene Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
s22,Movie,Red Notice,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya, Chris Diamantopoulos",United States,"November 12, 2021",2021,PG-13,118 min,"Action & Adventure, Comedies",An FBI profiler pursuing the world's most wanted art thief becomes his reluctant partner in crime to catch an elusive crook who's always one step ahead.
s23,TV Show,Beef,Lee Sung Jin,"Steven Yeun, Ali Wong, Joseph Lee, Young Mazino, David Choe",United States,"April 6, 2023",2023,TV-MA,1 Season,"TV Comedies, TV Dramas",A road rage incident between two strangers ? a failing contractor and an unfulfilled entrepreneur ? sparks a feud that brings out their darkest impulses.
s24,TV Show,Baby Reindeer,Weronika Tofilska,"Richard Gadd, Jessica Gunning, Nava Mau, Tom Goodman-Hill, Nina Sosanya",United Kingdom,"April 11, 2024",2024,TV-MA,1 Season,"British TV Shows, TV Dramas","When a struggling comedian shows one act of kindness to a vulnerable woman, it unleashes a suffocating obsession that threatens to wreck both their lives."
s25,TV Show,The Night Agent,Seth Gordon,"Gabriel Basso, Luciane Buchanan, Fola Evans-Akingbola, Sarah Desjardins, Eve Harlow",United States,"March 23, 2023",2023,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Thrillers","While monitoring an emergency line, a vigilant FBI agent answers a call that plunges him into a deadly conspiracy involving a mole at the White House."
s26,Movie,Leave the World Behind,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la, Farrah Mackenzie",United States,"December 8, 2023",2023,R,141 min,"Dramas, Thrillers & Mystery, Sci-Fi & Fantasy","A family's quiet getaway is upended when two strangers arrive at night, bearing news of a mysterious cyberattack and seeking refuge in their vacation home."
s27,TV Show,One Piece,Marc Jobst,"Inaki Godoy, Mackenyu, Emily Rudd, Jacob Romero Gibson, Taz Skylar","United States, Japan","August 31, 2023",2023,TV-14,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy","With his straw hat and ragtag crew, young pirate Monkey D. Luffy sets out on an epic voyage for treasure in this live-action adaptation of the popular manga."
s28,TV Show,Avatar: The Last Airbender,Michael Goi,"Gordon Cormier, Kiawentiio, Ian Ousley, Dallas Liu, Paul Sun-Hyung Lee",United States,"February 22, 2024",2024,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy, Kids' TV",A young boy known as the Avatar must master the four elemental powers to save a world at war ? and fight a ruthless enemy bent on stopping him.
s29,TV Show,Bridgerton,Sheree Folkson,"Nicola Coughlan, Luke Newton, Jonathan Bailey, Simone Ashley, Phoebe Dynevor",United States,"December 25, 2020",2024,TV-MA,3 Seasons,"Romantic TV Shows, TV Dramas, Period Pieces","The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society, inspired by Julia Quinn's bestselling novels."
s30,TV Show,The Diplomat,Debora Cahn,"Keri Russell, Rufus Sewell, David Gyasi, Ali Ahn, Rory Kinnear",United States,"April 20, 2023",2024,TV-MA,2 Seasons,"TV Dramas, TV Thrillers, Political","In the midst of an international crisis, a career diplomat lands in a high-profile job she?s unsuited for, with tectonic implications for her marriage and political future."
s31,TV Show,Quantum Chronicles,Bong Joon-ho,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",Germany,"January 2, 2017",2017,TV-PG,1 Seasons,"Sci-Fi & Fantasy, TV Dramas","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s32,Movie,Midnight Enigma,Alfonso Cuaron,"Tom Hardy, Cillian Murphy, Florence Pugh",South Korea,"January 19, 2023",2023,TV-PG,110 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s33,Movie,Crimson Horizon,Jordan Peele,"Zendaya, Timothee Chalamet, Rebecca Ferguson",Japan,"January 13, 2019",2019,TV-14,104 min,"Sci-Fi & Fantasy, TV Dramas","A gritty sci-fi & fantasy, tv dramas following an operative caught in a web of deceit across Japan."
s34,Movie,Midnight Horizon,Guillermo del Toro,"Tom Hardy, Cillian Murphy, Florence Pugh",Australia,"January 27, 2022",2022,TV-MA,153 min,"Horror Movies, Thrillers",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s35,TV Show,Quantum Enigma,Bong Joon-ho,"Song Kang-ho, Choi Woo-shik, Park So-dam",Australia,"January 13, 2015",2015,PG-13,2 Seasons,"Horror Movies, Thrillers","A gritty horror movies, thrillers following an operative caught in a web of deceit across Australia."
s36,Movie,Hidden Matrix,Greta Gerwig,"Zendaya, Timothee Chalamet, Rebecca Ferguson",Japan,"January 18, 2018",2018,TV-MA,119 min,"Horror Movies, Thrillers","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s37,TV Show,Silent Enigma,Jordan Peele,"Mads Mikkelsen, Eva Green, Christoph Waltz",India,"January 26, 2023",2023,PG-13,2 Seasons,"Comedies, Romantic Movies","A gritty comedies, romantic movies following an operative caught in a web of deceit across India."
s38,Movie,Echoing Rebellion,Bong Joon-ho,"Zendaya, Timothee Chalamet, Rebecca Ferguson",United Kingdom,"January 9, 2018",2018,R,148 min,"Docuseries, Science & Nature","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s39,Movie,Neon Syndicate,Guillermo del Toro,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Canada,"January 3, 2024",2024,PG-13,136 min,"Stand-Up Comedy, Comedies","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s40,TV Show,Midnight Chronicles,Denis Villeneuve,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Japan,"January 17, 2024",2024,R,1 Seasons,"Crime TV Shows, Thrillers & Mystery","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s41,Movie,Midnight Syndicate,David Fincher,"Mads Mikkelsen, Eva Green, Christoph Waltz",United States,"January 1, 2020",2020,PG-13,99 min,"Stand-Up Comedy, Comedies","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s42,TV Show,Neon Syndicate,Denis Villeneuve,"Song Kang-ho, Choi Woo-shik, Park So-dam",Canada,"January 25, 2019",2019,TV-PG,5 Seasons,"Docuseries, Science & Nature",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s43,Movie,Crimson Empire,Shinsuke Sato,"Zendaya, Timothee Chalamet, Rebecca Ferguson",United States,"January 2, 2022",2022,TV-MA,87 min,"Stand-Up Comedy, Comedies","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s44,Movie,Echoing Rebellion,Taika Waititi,"Song Kang-ho, Choi Woo-shik, Park So-dam",United Kingdom,"January 9, 2023",2023,TV-14,101 min,"Crime TV Shows, Thrillers & Mystery","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s45,Movie,Infinite Labyrinth,Alfonso Cuaron,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",South Korea,"January 4, 2019",2019,PG-13,136 min,"Anime Series, Action & Adventure","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s46,Movie,Quantum Conspiracy,Christopher Nolan,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",France,"January 8, 2024",2024,TV-MA,113 min,"Crime TV Shows, Thrillers & Mystery","A gritty crime tv shows, thrillers & mystery following an operative caught in a web of deceit across France."
s47,Movie,Solar Syndicate,David Fincher,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",France,"January 8, 2019",2019,TV-14,147 min,"Sci-Fi & Fantasy, TV Dramas","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s48,TV Show,Midnight Rebellion,David Fincher,"Song Kang-ho, Choi Woo-shik, Park So-dam",South Korea,"January 22, 2021",2021,R,3 Seasons,"Anime Series, Action & Adventure","A gritty anime series, action & adventure following an operative caught in a web of deceit across South Korea."
s49,TV Show,Neon Labyrinth,Jordan Peele,"Zendaya, Timothee Chalamet, Rebecca Ferguson",United States,"January 5, 2016",2016,TV-14,2 Seasons,"Crime TV Shows, Thrillers & Mystery","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s50,Movie,Silent Matrix,Bong Joon-ho,"Song Kang-ho, Choi Woo-shik, Park So-dam",India,"January 3, 2022",2022,TV-MA,155 min,"Docuseries, Science & Nature","A gritty docuseries, science & nature following an operative caught in a web of deceit across India."
s51,TV Show,Silent Syndicate,Jordan Peele,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",Japan,"January 1, 2022",2022,R,2 Seasons,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s52,TV Show,Neon Empire,Guillermo del Toro,"Pedro Pascal, Bella Ramsey, Gabriel Luna",India,"January 2, 2023",2023,TV-14,4 Seasons,"Docuseries, Science & Nature","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s53,TV Show,Solar Labyrinth,Greta Gerwig,"Tom Hardy, Cillian Murphy, Florence Pugh",United States,"January 2, 2015",2015,R,5 Seasons,"Stand-Up Comedy, Comedies","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s54,TV Show,Hidden Enigma,David Fincher,"Song Kang-ho, Choi Woo-shik, Park So-dam",Japan,"January 20, 2018",2018,TV-MA,4 Seasons,"Crime TV Shows, Thrillers & Mystery","A gritty crime tv shows, thrillers & mystery following an operative caught in a web of deceit across Japan."
s55,Movie,Midnight Syndicate,Guillermo del Toro,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",France,"January 15, 2020",2020,PG-13,115 min,"Stand-Up Comedy, Comedies",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s56,Movie,Solar Empire,Taika Waititi,"Song Kang-ho, Choi Woo-shik, Park So-dam",United States,"January 12, 2016",2016,TV-14,153 min,"Crime TV Shows, Thrillers & Mystery","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s57,TV Show,Hidden Matrix,Guillermo del Toro,"Ana de Armas, Ryan Gosling, Chris Evans",France,"January 22, 2022",2022,PG-13,5 Seasons,"Action & Adventure, Sci-Fi & Fantasy","A gritty action & adventure, sci-fi & fantasy following an operative caught in a web of deceit across France."
s58,TV Show,Shadow Empire,Denis Villeneuve,"Mads Mikkelsen, Eva Green, Christoph Waltz",United Kingdom,"January 20, 2016",2016,TV-PG,1 Seasons,"Docuseries, Science & Nature",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s59,Movie,Echoing Frontier,Guillermo del Toro,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",South Korea,"January 2, 2019",2019,TV-MA,91 min,"Horror Movies, Thrillers",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s60,Movie,Silent Horizon,Denis Villeneuve,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",Germany,"January 23, 2023",2023,TV-PG,139 min,"Comedies, Romantic Movies","A gritty comedies, romantic movies following an operative caught in a web of deceit across Germany."
s61,TV Show,Cyber Signal,Greta Gerwig,"Ana de Armas, Ryan Gosling, Chris Evans",United States,"January 12, 2021",2021,TV-MA,2 Seasons,"Stand-Up Comedy, Comedies","A gritty stand-up comedy, comedies following an operative caught in a web of deceit across United States."
s62,Movie,Shadow Syndicate,Greta Gerwig,"Pedro Pascal, Bella Ramsey, Gabriel Luna",United Kingdom,"January 1, 2024",2024,TV-14,104 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s63,Movie,Silent Rebellion,Bong Joon-ho,"Mads Mikkelsen, Eva Green, Christoph Waltz",Spain,"January 7, 2017",2017,R,98 min,"Horror Movies, Thrillers","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s64,TV Show,Midnight Signal,Guillermo del Toro,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",France,"January 28, 2018",2018,TV-14,1 Seasons,"International TV Shows, Dramas",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s65,Movie,Quantum Empire,Alfonso Cuaron,"Pedro Pascal, Bella Ramsey, Gabriel Luna",France,"January 19, 2023",2023,TV-MA,127 min,"Docuseries, Science & Nature","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s66,TV Show,Hidden Labyrinth,David Fincher,"Pedro Pascal, Bella Ramsey, Gabriel Luna",United States,"January 13, 2020",2020,R,3 Seasons,"Docuseries, Science & Nature","A gritty docuseries, science & nature following an operative caught in a web of deceit across United States."
s67,TV Show,Echoing Conspiracy,Christopher Nolan,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Germany,"January 12, 2015",2015,TV-PG,5 Seasons,"Action & Adventure, Sci-Fi & Fantasy","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s68,Movie,Echoing Frontier,Greta Gerwig,"Song Kang-ho, Choi Woo-shik, Park So-dam",Australia,"January 13, 2019",2019,PG-13,149 min,"Horror Movies, Thrillers",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s69,TV Show,Hidden Empire,Bong Joon-ho,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Japan,"January 18, 2021",2021,TV-PG,2 Seasons,"Stand-Up Comedy, Comedies","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s70,TV Show,Infinite Rebellion,Bong Joon-ho,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Germany,"January 22, 2024",2024,PG-13,5 Seasons,"Docuseries, Science & Nature","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s71,Movie,Neon Matrix,David Fincher,"Mads Mikkelsen, Eva Green, Christoph Waltz",Japan,"January 8, 2023",2023,TV-MA,127 min,"International TV Shows, Dramas",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s72,TV Show,Infinite Frontier,Christopher Nolan,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",United States,"January 23, 2022",2022,TV-MA,5 Seasons,"Comedies, Romantic Movies","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s73,TV Show,Neon Syndicate,Bong Joon-ho,"Ana de Armas, Ryan Gosling, Chris Evans",Spain,"January 2, 2015",2015,R,1 Seasons,"International TV Shows, Dramas","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s74,TV Show,Crimson Rebellion,Denis Villeneuve,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",India,"January 27, 2023",2023,TV-PG,5 Seasons,"Crime TV Shows, Thrillers & Mystery","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s75,TV Show,Solar Rebellion,Taika Waititi,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",Japan,"January 9, 2019",2019,PG-13,2 Seasons,"International TV Shows, Dramas","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s76,Movie,Shadow Syndicate,Guillermo del Toro,"Zendaya, Timothee Chalamet, Rebecca Ferguson",South Korea,"January 13, 2020",2020,TV-MA,154 min,"Docuseries, Science & Nature","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s77,TV Show,Midnight Protocol,Jordan Peele,"Pedro Pascal, Bella Ramsey, Gabriel Luna",United Kingdom,"January 27, 2020",2020,R,5 Seasons,"Action & Adventure, Sci-Fi & Fantasy","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s78,Movie,Midnight Frontier,Jordan Peele,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",Australia,"January 16, 2015",2015,PG-13,130 min,"Sci-Fi & Fantasy, TV Dramas","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s79,Movie,Infinite Syndicate,Christopher Nolan,"Pedro Pascal, Bella Ramsey, Gabriel Luna",India,"January 13, 2020",2020,TV-14,136 min,"Anime Series, Action & Adventure","A gritty anime series, action & adventure following an operative caught in a web of deceit across India."
s80,TV Show,Cyber Frontier,Jordan Peele,"Ana de Armas, Ryan Gosling, Chris Evans",United Kingdom,"January 7, 2022",2022,TV-MA,2 Seasons,"Sci-Fi & Fantasy, TV Dramas",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s81,Movie,Silent Conspiracy,Guillermo del Toro,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Spain,"January 12, 2019",2019,R,95 min,"Horror Movies, Thrillers","A gritty horror movies, thrillers following an operative caught in a web of deceit across Spain."
s82,Movie,Shadow Enigma,Christopher Nolan,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",United States,"January 16, 2018",2018,TV-PG,87 min,"Crime TV Shows, Thrillers & Mystery","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s83,TV Show,Vortex Conspiracy,Guillermo del Toro,"Zendaya, Timothee Chalamet, Rebecca Ferguson",India,"January 25, 2017",2017,TV-PG,5 Seasons,"Action & Adventure, Sci-Fi & Fantasy","A gritty action & adventure, sci-fi & fantasy following an operative caught in a web of deceit across India."
s84,TV Show,Midnight Conspiracy,Shinsuke Sato,"Tom Hardy, Cillian Murphy, Florence Pugh",United Kingdom,"January 3, 2019",2019,R,5 Seasons,"Docuseries, Science & Nature","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s85,TV Show,Solar Frontier,Guillermo del Toro,"Song Kang-ho, Choi Woo-shik, Park So-dam",United Kingdom,"January 3, 2024",2024,PG-13,1 Seasons,"Action & Adventure, Sci-Fi & Fantasy",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s86,Movie,Echoing Rebellion,Jordan Peele,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",United States,"January 14, 2016",2016,PG-13,140 min,"Horror Movies, Thrillers","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s87,Movie,Cyber Signal,Shinsuke Sato,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",Germany,"January 27, 2022",2022,TV-PG,140 min,"Stand-Up Comedy, Comedies","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s88,TV Show,Crimson Protocol,Bong Joon-ho,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",India,"January 28, 2024",2024,R,5 Seasons,"Docuseries, Science & Nature","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s89,Movie,Vortex Empire,Greta Gerwig,"Mads Mikkelsen, Eva Green, Christoph Waltz",South Korea,"January 17, 2020",2020,TV-PG,120 min,"International TV Shows, Dramas","A gritty international tv shows, dramas following an operative caught in a web of deceit across South Korea."
s90,TV Show,Echoing Conspiracy,Jordan Peele,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",South Korea,"January 15, 2023",2023,R,2 Seasons,"Crime TV Shows, Thrillers & Mystery","In a futuristic metropolis, a daring team risks everything to expose a massive corporate conspiracy."
s91,TV Show,Crimson Rebellion,Bong Joon-ho,"Pedro Pascal, Bella Ramsey, Gabriel Luna",Germany,"January 14, 2018",2018,TV-PG,3 Seasons,"Crime TV Shows, Thrillers & Mystery",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s92,TV Show,Neon Horizon,Greta Gerwig,"Hiroyuki Sanada, Anna Sawai, Tadanobu Asano",France,"January 11, 2019",2019,PG-13,3 Seasons,"Stand-Up Comedy, Comedies","When an unexpected crisis erupts, an unlikely hero discovers deep secrets and forgotten truths."
s93,Movie,Solar Chronicles,Bong Joon-ho,"Dev Patel, Radhika Apte, Nawazuddin Siddiqui",Japan,"January 4, 2022",2022,TV-PG,120 min,"Stand-Up Comedy, Comedies",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s94,TV Show,Shadow Empire,Greta Gerwig,"Ana de Armas, Ryan Gosling, Chris Evans",South Korea,"January 2, 2019",2019,TV-PG,1 Seasons,"Docuseries, Science & Nature","A gritty docuseries, science & nature following an operative caught in a web of deceit across South Korea."
s95,TV Show,Infinite Rebellion,David Fincher,"Tom Hardy, Cillian Murphy, Florence Pugh",India,"January 6, 2024",2024,R,3 Seasons,"Comedies, Romantic Movies",An exhilarating high-stakes journey that challenges the boundaries of technology and human nature.
s96,TV Show,Hidden Matrix,David Fincher,"Song Kang-ho, Choi Woo-shik, Park So-dam",India,"January 5, 2021",2021,TV-MA,4 Seasons,"Docuseries, Science & Nature","A gritty docuseries, science & nature following an operative caught in a web of deceit across India."
